rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
9,9,-3,OLD,20262902,다윗,2026-07-10,12720600,0.2,-15860600,-55.5,2634680790,1390,-1669,-54.6,270883,70,74,20260805
10,10,0,NEW,20262945,퍼피 구조대: 더 다이노 무비,2026-08-13,6714000,0.1,6714000,100,6714000,746,746,100,746,3,3,20260805
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,3631237270,78.5,-543224880,-13,43668674970,348287,-53493,-13.3,4138392,2214,8852,20260804
2,2,0,OLD,20233219,호프,2026-07-15,582039140,12.6,-36232160,-5.9,45478628690,61234,-2693,-4.2,4235706,919,2690,20260804
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,110418150,2.4,-2623650,-2.3,7377223240,12337,-117,-0.9,738731,668,1029,20260804
4,4,0,OLD,20259781,토이 스토리 5,2026-06-17,73375740,1.6,2148350,3,30096201910,7890,436,5.8,2927554,385,488,20260804
5,5,0,OLD,20259946,모아나,2026-07-08,63551500,1.4,-1616840,-2.5,10755495370,6864,-122,-1.7,1013797,444,603,20260804
6,6,1,OLD,20262902,다윗,2026-07-10,28581200,0.6,-1028030,-3.5,2621960190,3059,-26,-0.8,269493,178,204,20260804
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,29506850,0.6,-2097810,-6.6,304557330,2991,-156,-5,30146,56,104,20260804
8,8,0,OLD,20242402,눈동자,2026-06-24,13952100,0.3,-1351750,-8.8,15890922450,1369,-120,-8.1,1540233,168,189,20260804
9,9,1,OLD,20250654,오디세이,2026-08-05,12681000,0.3,6579000,107.8,29391000,1065,387,57.1,2367,3,3,20260804
10,10,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,10966800,0.2,10966800,100,318006120,916,916,100,27410,3,6,20260804
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4174462150,80.5,-4605884450,-52.5,40037437700,401780,-424555,-51.4,3790105,2178,8774,20260803
2,2,0,OLD,20233219,호프,2026-07-15,618271300,11.9,-582116270,-48.5,44896589550,63927,-53970,-45.8,4174472,901,2658,20260803
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,113041800,2.2,-105371390,-48.2,7266805090,12454,-10576,-45.9,726394,672,1050,20260803
4,4,1,OLD,20259781,토이 스토리 5,2026-06-17,71227390,1.4,-44148190,-38.3,30022826170,7454,-4100,-35.5,2919664,384,487,20260803
5,5,-1,OLD,20259946,모아나,2026-07-08,65168340,1.3,-58931060,-47.5,10691943870,6986,-5777,-45.3,1006933,437,580,20260803
6,6,2,OLD,20264148,어떻게 해야 했을까?,2026-07-29,31604660,0.6,-24973140,-44.1,275050480,3147,-2287,-42.1,27155,59,103,20260803
7,7,0,OLD,20262902,다윗,2026-07-10,29609230,0.6,-65013720,-68.7,2593378990,3085,-6832,-68.9,266434,171,199,20260803
8,8,1,OLD,20242402,눈동자,2026-06-24,15303850,0.3,-9747450,-38.9,15876970350,1489,-852,-36.4,1538864,164,185,20260803
9,9,1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,7537100,0.1,-5249400,-41.1,382904050,845,-566,-40.1,42841,112,112,20260803
10,10,0,NEW,20250654,오디세이,2026-08-05,6102000,0.1,6102000,100,16710000,678,678,100,1302,2,2,20260803
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,8780346600,80.9,-916966210,-9.5,35862975550,826335,-75245,-8.3,3388325,2382,9784,20260802
2,2,0,OLD,20233219,호프,2026-07-15,1200387570,11.1,-202913330,-14.5,44278318250,117897,-18520,-13.6,4110545,965,2620,20260802
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,218413190,2.0,6972680,3.3,7153763290,23030,857,3.9,713940,716,1089,20260802
4,4,0,OLD,20259946,모아나,2026-07-08,124099400,1.1,-34450,0,10626775530,12763,34,0.3,999947,452,580,20260802
5,5,1,OLD,20259781,토이 스토리 5,2026-06-17,115375580,1.1,15245840,15.2,29951598780,11554,1614,16.2,2912210,375,472,20260802
6,6,-1,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,125351720,1.2,-2633880,-2.1,307039320,10305,-376,-3.5,26494,75,85,20260802
7,7,0,OLD,20262902,다윗,2026-07-10,94622950,0.9,9450060,11.1,2563769760,9917,1122,12.8,263349,243,276,20260802
8,8,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,56577800,0.5,-7614300,-11.9,243445820,5434,-790,-12.7,24008,63,107,20260802
9,9,0,OLD,20242402,눈동자,2026-06-24,25051300,0.2,-3463900,-12.1,15861666500,2341,-305,-11.5,1537375,151,176,20260802
10,10,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,12786500,0.1,269190,2.2,375366950,1411,46,3.4,41996,126,130,20260802
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,9697312810,80.9,3900487860,67.3,27082628950,901580,375250,71.3,2561990,2409,10152,20260801
2,2,0,OLD,20233219,호프,2026-07-15,1403300900,11.7,567632100,67.9,43077930680,136417,54921,67.4,3992648,957,2724,20260801
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,211440510,1.8,21218580,11.2,6935350100,22173,2131,10.6,690910,715,1091,20260801
4,4,0,OLD,20259946,모아나,2026-07-08,124133850,1.0,11528250,10.2,10502676130,12729,1099,9.4,987184,465,626,20260801
5,5,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,127985600,1.1,127985600,100,181687600,10681,10681,100,16189,76,91,20260801
6,6,-1,OLD,20259781,토이 스토리 5,2026-06-17,100129740,0.8,-1910980,-1.9,29836223200,9940,-440,-4.2,2900656,367,455,20260801
7,7,-1,OLD,20262902,다윗,2026-07-10,85172890,0.7,25748890,43.3,2469146810,8795,2523,40.2,253432,253,285,20260801
8,8,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,64192100,0.5,18523400,40.6,186868020,6224,1873,43,18574,67,110,20260801
9,9,-1,OLD,20242402,눈동자,2026-06-24,28515200,0.2,3039850,11.9,15836615200,2646,271,11.4,1535034,160,187,20260801
10,10,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,12517310,0.1,-5375960,-30,362580450,1365,-578,-29.7,40585,130,134,20260801
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,5796824950,79.4,1141922400,24.5,17385316140,526330,84486,19.1,1660410,2275,9373,20260731
2,2,0,OLD,20233219,호프,2026-07-15,835668800,11.4,171061180,25.7,41674629780,81496,13873,20.5,3856231,1005,2980,20260731
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,190221930,2.6,2406670,1.3,6723909590,20042,-568,-2.8,668737,726,1110,20260731
4,4,0,OLD,20259946,모아나,2026-07-08,112605600,1.5,1662250,1.5,10378542280,11630,-252,-2.1,974455,480,705,20260731
5,5,0,OLD,20259781,토이 스토리 5,2026-06-17,102040720,1.4,7724900,8.2,29736093460,10380,413,4.1,2890716,395,472,20260731
6,6,1,OLD,20262902,다윗,2026-07-10,59424000,0.8,23293200,64.5,2383973920,6272,2436,63.5,244637,186,207,20260731
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,45668700,0.6,6420780,16.4,122675920,4351,438,11.2,12350,61,94,20260731
8,8,1,OLD,20242402,눈동자,2026-06-24,25475350,0.3,-1282250,-4.8,15808100000,2375,-305,-11.4,1532388,200,246,20260731
9,9,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,17893270,0.2,-11534950,-39.2,350063140,1943,-1501,-43.6,39220,173,178,20260731
10,10,0,NEW,20265254,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,52001000,0.7,52001000,100,52001000,1469,1469,100,1469,2,14,20260731
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4654902550,78.8,-2261100090,-32.7,11588491190,441844,-249138,-36.1,1134080,2222,8848,20260730
2,2,0,OLD,20233219,호프,2026-07-15,664607620,11.2,-167354530,-20.1,40838960980,67623,-20269,-23.1,3774735,1026,2954,20260730
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,187815260,3.2,-4529040,-2.4,6533687660,20610,-1045,-4.8,648695,690,1067,20260730
4,4,0,OLD,20259946,모아나,2026-07-08,110943350,1.9,9949830,9.9,10265936680,11882,780,7,962825,486,707,20260730
5,5,0,OLD,20259781,토이 스토리 5,2026-06-17,94315820,1.6,9671600,11.4,29634052740,9967,736,8,2880336,358,435,20260730
6,6,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39247920,0.7,4232620,12.1,77007220,3913,219,5.9,7999,52,80,20260730
7,7,0,OLD,20262902,다윗,2026-07-10,36130800,0.6,2267260,6.7,2324549920,3836,167,4.6,238365,150,166,20260730
8,8,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,29428220,0.5,7070820,31.6,332169870,3444,922,36.6,37277,238,250,20260730
9,9,0,OLD,20242402,눈동자,2026-06-24,26757600,0.5,2587340,10.7,15782624650,2680,192,7.7,1530013,220,261,20260730
10,10,1,OLD,20257100,산양들,2026-07-29,9096050,0.2,1267050,16.2,24172050,1118,230,25.9,2827,39,51,20260730
1,1,7,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,6916002640,83.2,6898416640,39226.8,6933588640,690982,689728,55002.2,692236,2304,9082,20260729
2,2,-1,OLD,20233219,호프,2026-07-15,831962150,10.0,-191965480,-18.7,40174353360,87892,-12255,-12.2,3707112,1023,2901,20260729
3,3,-1,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,192344300,2.3,-12113220,-5.9,6345872400,21655,-412,-1.9,628085,692,1065,20260729
4,4,-1,OLD,20259946,모아나,2026-07-08,100993520,1.2,-47376620,-31.9,10154993330,11102,-4455,-28.6,950943,471,656,20260729
5,5,-1,OLD,20259781,토이 스토리 5,2026-06-17,84644220,1.0,-34841620,-29.2,29539736920,9231,-3267,-26.1,2870369,320,385,20260729
6,6,0,NEW,20264148,어떻게 해야 했을까?,2026-07-29,35015300,0.4,35015300,100,37759300,3694,3694,100,4086,61,77,20260729
7,7,-1,OLD,20262902,다윗,2026-07-10,33863540,0.4,-15838010,-31.9,2288419120,3669,-1803,-32.9,234529,139,157,20260729
8,8,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,22357400,0.3,-5706410,-20.3,302741650,2522,-644,-20.3,33833,224,231,20260729
9,9,-4,OLD,20242402,눈동자,2026-06-24,24170260,0.3,-43364990,-64.2,15755867050,2488,-4045,-61.9,1527333,199,232,20260729
10,10,5,OLD,20242837,왕과 사는 남자,2026-02-04,6874000,0.1,3505000,104,163215573840,1004,503,100.4,16916280,12,12,20260729
